"항목","행정구역(동읍면)별",2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12
"항목","행정구역(동읍면)별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"총인구수 (명)","경기도 > 성남시 > 수정구 > 양지동",8923,89,161,295,391,554,615,546,371,521,664,835,864,827,742,547,411,280,152,49,7,2
"총인구수 (명)","경기도 > 성남시 > 수정구 > 복정동",10453,236,183,185,274,1142,1228,1093,948,824,815,863,737,560,509,361,249,151,58,25,10,2
"총인구수 (명)","경기도 > 성남시 > 수정구 > 위례동",45473,1745,2348,2732,2170,1752,2359,3331,3624,4354,3976,3464,3284,3103,2948,1935,1129,645,351,174,44,5
"총인구수 (명)","경기도 > 성남시 > 수정구 > 신촌동",4511,206,223,200,208,267,439,507,380,303,315,338,256,260,249,156,84,68,34,12,6,0
"총인구수 (명)","경기도 > 성남시 > 수정구 > 고등동",11797,552,609,383,382,455,807,1247,1303,1122,764,824,844,686,683,498,317,192,86,33,10,0
"총인구수 (명)","경기도 > 성남시 > 수정구 > 시흥동",3548,64,60,69,67,127,492,514,280,254,219,214,210,247,247,201,137,84,43,13,6,0
"총인구수 (명)","경기도 > 성남시 > 중원구",203572,4903,5391,6592,7373,9176,14606,17060,14186,14816,14187,16315,17434,17571,16588,10972,7678,5018,2621,837,205,43
"총인구수 (명)","경기도 > 성남시 > 중원구 > 성남동",31835,480,451,702,928,1415,3338,3408,2190,2083,2035,2453,2601,2570,2599,1708,1265,945,468,159,33,4
"총인구수 (명)","경기도 > 성남시 > 중원구 > 중앙동",16585,681,624,601,562,663,868,1272,1431,1428,1288,1331,1329,1267,1181,823,615,370,174,61,13,3
"총인구수 (명)","경기도 > 성남시 > 중원구 > 금광1동",19608,1147,1079,622,519,680,1028,1898,2365,2188,1321,1240,1298,1317,1224,749,480,230,156,50,15,2
"총인구수 (명)","경기도 > 성남시 > 중원구 > 금광2동",23438,417,498,654,860,1186,1777,1950,1449,1621,1664,1922,2070,2031,1983,1411,942,583,299,92,23,6
"총인구수 (명)","경기도 > 성남시 > 중원구 > 은행1동",9289,162,199,314,411,542,831,811,574,554,577,804,838,755,691,490,331,239,134,25,4,3
"총인구수 (명)","경기도 > 성남시 > 중원구 > 은행2동",20978,238,350,566,760,1138,1529,1573,1142,1195,1363,1832,2032,1992,1863,1274,960,682,351,106,27,5
"총인구수 (명)","경기도 > 성남시 > 중원구 > 상대원1동",22454,431,467,696,724,930,1483,1884,1412,1570,1491,1834,2076,2160,2045,1329,904,593,293,97,28,7
"총인구수 (명)","경기도 > 성남시 > 중원구 > 상대원2동",2911,41,50,91,101,129,190,189,131,170,199,233,320,331,300,170,127,81,36,18,2,2
"총인구수 (명)","경기도 > 성남시 > 중원구 > 상대원3동",11054,124,165,296,360,440,658,835,606,663,734,847,1115,1228,1114,777,547,311,167,44,19,4
"총인구수 (명)","경기도 > 성남시 > 중원구 > 하대원동",19542,468,503,691,778,877,1374,1458,1233,1237,1248,1578,1758,1974,1795,1118,668,445,243,77,16,3
"총인구수 (명)","경기도 > 성남시 > 중원구 > 도촌동",25878,714,1005,1359,1370,1176,1530,1782,1653,2107,2267,2241,1997,1946,1793,1123,839,539,300,108,25,4
"총인구수 (명)","경기도 > 구리시",186090,4307,5803,8011,8286,8803,12520,13633,11526,13693,14394,16244,17200,16094,13741,8693,5822,4151,2231,766,150,22
"총인구수 (명)","경기도 > 구리시 > 갈매동",30448,1064,1754,2224,1213,975,1588,1972,2216,3538,3068,2253,2042,1945,1879,1216,768,447,198,75,12,1
"총인구수 (명)","경기도 > 구리시 > 동구동",35104,847,958,1422,1707,1877,2486,2544,2055,2212,2532,3200,3590,3239,2457,1486,1048,766,455,179,40,4
"총인구수 (명)","경기도 > 구리시 > 인창동",23558,599,774,952,1127,1209,1653,1791,1575,1712,1802,2046,2198,1968,1564,1018,674,520,262,91,22,1
"총인구수 (명)","경기도 > 구리시 > 교문1동",14554,177,229,390,486,569,1021,1019,783,890,1075,1353,1462,1503,1367,888,586,439,233,70,12,2
